"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"337",14,"Ricky White III",SEA,"WR125","23","246","411","308.0","55.4","-"
"338",14,"Jalen Nailor",MIN,"WR126","26","250","375","308.8","38.4","-"
"339",14,"Evan McPherson",CIN,"K16","26","251","326","298.0","23.6","-74"
"340",14,"LeQuint Allen Jr.",JAC,"RB94","21","256","388","298.3","42.1","-49"
"341",14,"Tyler Bass",BUF,"K17","28","249","319","285.9","20.8","-84"
"342",14,"A.J. Dillon",PHI,"RB95","27","265","348","300.5","26.4","-"
"343",14,"Noah Brown",WAS,"WR127","29","255","345","300.9","27.9","-"
"344",14,"John Metchie III",HOU,"WR128","25","251","392","311.8","49.6","-"
"345",14,"Daniel Carlson",LV,"K18","30","233","338","302.0","31.4","-"
"346",14,"Dawson Knox",BUF,"TE49","28","239","337","302.0","34.6","-"
"347",14,"Jacob Cowing",SF,"WR129","24","263","359","321.2","37.6","-"
"348",14,"Darnell Washington",PIT,"TE50","23","279","361","312.9","27.1","-"
"349",14,"Dameon Pierce",HOU,"RB96","25","274","402","334.3","41.4","-"
"350",14,"Cam Akers",NO,"RB97","26","260","343","302.9","29.3","-"
"351",14,"Isaiah Bond",FA,"WR130","-","161","306","246.6","51.0","-"
"352",14,"Ray-Ray McCloud III",ATL,"WR131","28","247","409","314.9","60.5","-66"
"353",14,"Mac Jones",SF,"QB44","26","265","330","291.1","27.4","-"
"354",14,"Kenny Pickett",CLE,"QB45","27","256","351","304.4","31.7","-"
"355",14,"New Orleans Saints",NO,"DST14","-","226","344","276.0","42.9","-"
"356",14,"Green Bay Packers",GB,"DST15","-","270","310","294.6","11.9","-53"
"357",14,"Arian Smith",NYJ,"WR132","23","241","379","307.5","50.3","-41"
"358",14,"Devontez Walker",BAL,"WR133","24","263","398","326.4","42.0","-"
"359",14,"Mason Rudolph",PIT,"QB46","30","224","330","279.3","38.1","-"
"360",14,"Greg Zuerlein",FA,"K19","37","264","326","296.1","20.3","-"
"361",14,"Seattle Seahawks",SEA,"DST16","-","266","354","296.9","26.2","-61"
"362",14,"Thomas Fidone II",NYG,"TE51","22","254","316","282.2","22.1","-"
"363",14,"Jason Sanders",MIA,"K20","29","275","338","305.6","21.7","-"
"364",14,"Atlanta Falcons",ATL,"DST17","-","239","303","271.6","23.8","-"
"365",14,"Los Angeles Chargers",LAC,"DST18","-","239","359","293.3","34.9","-"
"366",14,"Phil Mafah",DAL,"RB98","22","260","353","300.0","32.2","-57"
"367",14,"Jake Bates",DET,"K21","26","284","335","301.3","18.6","-124"
"368",14,"Cairo Santos",CHI,"K22","33","258","313","286.0","18.9","-"
"369",14,"Luke Schoonmaker",DAL,"TE52","26","274","371","328.5","29.4","-75"
"370",14,"Chase McLaughlin",TB,"K23","29","206","339","287.8","46.7","-77"
