JP BREAKS,,,,,Savage Speeders,,,,,The Firefly Funhouse,,,,,,
Joe Pappas,,,,,Jay Stephens,,,,,Mark Sandora,,,,,,
Number,Position,Player,Contract,,Number,Position,Player,Contract,,Number,Position,Player,Contract,,,
1,QB,Lamar Jackson,3,,1,WR,Tetairoa McMillan,3,,1, RB,Christian McCaffrey,3,,,
2,WR,Matthew Golden,3,,2,RB,Quinshon Judkins,3,,2,RB,Brian Robinson,3,,,
3,WR,Michael Pittman,2,,3,RB,RJ Harvey,2,,3,RB ,Isiah Pacheco,2,,,
4,WR,Marvin Harrison Jr.,2,,4,RB,Chuba Hubbard,2,,4,TE,David Njoku,2,,,
5,WR,D.K. Metcalf,2,,5,QB,Caleb Williams,2,,5,WR,George Pickens,2,,,
6,RB,Rhamondre Stevenson,1,,6,WR,Jaxon Smith-Njigba,2,,6,QB,Joe Burrow,1,,,
7,TE,Noah Fant,1,,7,TE,Kyle Pitts,2,,7,WR,Ja'Marr Chase,1,,,
8,RB,Derrick Henry,1,,8,WR,Wan'Dale Robinson,1,,8,WR ,Deandre Hopkins,1,,,
9,RB,Travis Etienne,1,,9,WR,Quentin Johnston,1,,9,TE,Luke Musgrave,1,,,
10,RB,Raheem Mostert,1,,10,WR,John Metchie,1,,10,RB,Austin Ekeler,1,,,
11,WR,Terry McLaurin,1,,11,WR,AD Mitchell,1,,11,WR,Deebo Samuel,1,,,
12,,,,,12,WR,Tetairoa McMillan,3,,12,,,,,,
13,,,,,13,RB,Quinshon Judkins,3,,13,,,,,,
14,,,,,14,,,,,14,,,,,,
15,,,,,15,,,,,15,,,,,,
Practice Squad Stash,,,,,Practice Squad Stash,,,,,Practice Squad Stash,,,,,,
1,QB,JJ McCarthy {2},MIN,,1,RB,Ollie Gordon {1},MIA,,1,WR,Jalen McMillan {2},TB,,,
2,WR,Jermaine Burton {2},CIN,,2,WR,Tre Harris {1},LAC,,2,,,,,,
3,WR,Malachi Corley {2},NYJ,,3,WR,Emeka Egbuka {1},TB,,3,,,,,,
New Offseason Contracts,,,,,New Offseason Contracts,,,,,New Offseason Contracts,,,,,,
JPBreaks 2025 3 YR Contract (1),,,,,Stephens 2025 3 YR Contract (1),,,,,Mark S 2025 3 YR Contract (1),,,,,,
