season,draft_id,draft_name,draft_type,status,num_teams,round,pick_no,overall_slot,nomination,auction_price,player_id,first_name,last_name,position,team,picked_by_user_id,picked_by_display,picked_by_team_name,roster_id,is_keeper
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,5,60,3,,23,5045,Courtland,Sutton,WR,DEN,736862679649652736,loud1990,Keenan and Kelce,2,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,6,61,7,,105,8150,Kyren,Williams,RB,LAR,790083700929957888,bpush20,PushMAndrews,5,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,6,62,3,,21,3294,Dak,Prescott,QB,DAL,736862679649652736,loud1990,Keenan and Kelce,2,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,6,63,2,,80,6790,D'Andre,Swift,RB,CHI,807825671157059584,LouRusso20,JayTopMikeBottom,11,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,6,64,5,,60,5848,Hollywood,Brown,WR,KC,807822209459556352,SavageSpeeders,SavageSpeeders ,10,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,6,65,1,,11,8183,Brock,Purdy,QB,SF,792870863715274752,jpbreaks,JPBreaks,7,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,6,66,11,,5,10226,Andrei,Iosivas,WR,CIN,791534307343724544,sandman2207,Raspberry Racers,6,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,6,67,10,,26,5022,Dallas,Goedert,TE,PHI,807009871076671488,nistico60,Slave Bakery,9,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,6,68,6,,68,4137,James,Conner,RB,ARI,475765880177815552,RealMikeBradley,West Coast Customs,1,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,6,69,10,,7,3163,Jared,Goff,QB,DET,807009871076671488,nistico60,Slave Bakery,9,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,6,70,3,,14,5947,Jakobi,Meyers,WR,LV,736862679649652736,loud1990,Keenan and Kelce,2,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,6,71,10,,56,6845,Zack,Moss,RB,CIN,807009871076671488,nistico60,Slave Bakery,9,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,6,72,1,,26,2749,Raheem,Mostert,RB,MIA,792870863715274752,jpbreaks,JPBreaks,7,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,7,73,8,,13,5001,Dalton,Schultz,TE,HOU,598940115322064896,BroParty,SCLSU Mud Dogs,3,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,7,74,9,,55,5248,Gus,Edwards,RB,LAC,800266574987628544,Sandorasboxx,The Firefly Fun House,8,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,7,75,4,,32,8143,Jerome,Ford,RB,CLE,459476133621002240,EddiePuodz,Stroud Boys,4,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,7,76,5,,15,2374,Tyler,Lockett,WR,SEA,807822209459556352,SavageSpeeders,SavageSpeeders ,10,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,7,77,3,,31,6130,Devin,Singletary,RB,NYG,736862679649652736,loud1990,Keenan and Kelce,2,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,7,78,7,,19,9486,Dontayvion,Wicks,WR,GB,790083700929957888,bpush20,PushMAndrews,5,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,7,79,11,,27,7670,Joshua,Palmer,WR,LAC,791534307343724544,sandman2207,Raspberry Racers,6,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,7,80,8,,33,8134,Khalil,Shakir,WR,BUF,598940115322064896,BroParty,SCLSU Mud Dogs,3,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,7,81,11,,1,11617,Malachi,Corley,WR,NYJ,791534307343724544,sandman2207,Raspberry Racers,6,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,7,82,5,,4,11650,Luke,McCaffrey,WR,WAS,807822209459556352,SavageSpeeders,SavageSpeeders ,10,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,7,83,1,,12,6943,Gabe,Davis,WR,JAX,792870863715274752,jpbreaks,JPBreaks,7,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,7,84,1,,10,6826,Cole,Kmet,TE,CHI,792870863715274752,jpbreaks,JPBreaks,7,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,8,85,3,,4,11576,Braelon,Allen,RB,NYJ,736862679649652736,loud1990,Keenan and Kelce,2,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,8,86,4,,44,11584,Bucky,Irving,RB,TB,459476133621002240,EddiePuodz,Stroud Boys,4,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,8,87,5,,20,4068,Mike,Williams,WR,NYJ,807822209459556352,SavageSpeeders,SavageSpeeders ,10,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,8,88,8,,18,11596,Ben,Sinnott,TE,WAS,598940115322064896,BroParty,SCLSU Mud Dogs,3,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,8,89,6,,12,11618,Jalen,McMillan,WR,TB,475765880177815552,RealMikeBradley,West Coast Customs,1,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,8,90,11,,22,7021,Rico,Dowdle,RB,DAL,791534307343724544,sandman2207,Raspberry Racers,6,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,8,91,5,,7,7594,Chuba,Hubbard,RB,CAR,807822209459556352,SavageSpeeders,SavageSpeeders ,10,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,8,92,11,,27,8676,Rashid,Shaheed,WR,NO,791534307343724544,sandman2207,Raspberry Racers,6,
2024,1048776197225738241,Dine Nasty Football 2K24,auction,complete,12,8,93,12,,1,11563,Bo,Nix,QB,DEN,459133349898743808,koloj,Chalupa Batman,12,
