season,draft_id,draft_name,draft_type,status,num_teams,round,pick_no,overall_slot,nomination,auction_price,player_id,first_name,last_name,position,team,picked_by_user_id,picked_by_display,picked_by_team_name,roster_id,is_keeper
2022,828389182266277888,Dine Nasty Football 2K22,auction,complete,12,1,1,1,,1,5022,Dallas,Goedert,TE,PHI,792870863715274752,jpbreaks,JPBreaks,7,False
2022,828389182266277888,Dine Nasty Football 2K22,auction,complete,12,1,2,1,,1,5848,Marquise,Brown,WR,ARI,792870863715274752,jpbreaks,JPBreaks,7,False
2022,828389182266277888,Dine Nasty Football 2K22,auction,complete,12,1,3,2,,1,4993,Mike,Gesicki,TE,MIA,807822209459556352,SavageSpeeders,SavageSpeeders ,10,False
2022,828389182266277888,Dine Nasty Football 2K22,auction,complete,12,1,4,4,,1,7561,Elijah,Mitchell,RB,SF,807009871076671488,nistico60,Slave Bakery,9,False
2022,828389182266277888,Dine Nasty Football 2K22,auction,complete,12,1,5,4,,1,1234,Russell,Wilson,QB,DEN,807009871076671488,nistico60,Slave Bakery,9,False
2022,828389182266277888,Dine Nasty Football 2K22,auction,complete,12,1,6,5,,1,5906,Dawson,Knox,TE,BUF,598940115322064896,BroParty,SCLSU Mud Dogs,3,False
2022,828389182266277888,Dine Nasty Football 2K22,auction,complete,12,1,7,6,,1,4950,Christian,Kirk,WR,JAX,475765880177815552,RealMikeBradley,Glory...Lasts Forever,1,False
2022,828389182266277888,Dine Nasty Football 2K22,auction,complete,12,1,8,7,,1,5844,T.J.,Hockenson,TE,DET,807825671157059584,LouRusso20,Sharp Bananas,11,False
2022,828389182266277888,Dine Nasty Football 2K22,auction,complete,12,1,9,8,,1,4137,James,Conner,RB,ARI,791534307343724544,sandman2207,Raspberry Racers,6,False
2022,828389182266277888,Dine Nasty Football 2K22,auction,complete,12,1,10,8,,1,6943,Gabe,Davis,WR,BUF,791534307343724544,sandman2207,Raspberry Racers,6,False
2022,828389182266277888,Dine Nasty Football 2K22,auction,complete,12,1,11,9,,1,6819,Michael,Pittman,WR,IND,459476133621002240,EddiePuodz,Frank’s Third Reich,4,False
2022,828389182266277888,Dine Nasty Football 2K22,auction,complete,12,1,12,9,,1,7090,Darnell,Mooney,WR,CHI,459476133621002240,EddiePuodz,Frank’s Third Reich,4,False
2022,828389182266277888,Dine Nasty Football 2K22,auction,complete,12,2,13,10,,1,5872,Deebo,Samuel,WR,SF,807828858731622400,theheffron,The Tater Thots,12,False
2022,828389182266277888,Dine Nasty Football 2K22,auction,complete,12,2,14,11,,1,6938,Cam,Akers,RB,LAR,736862679649652736,loud1990,Keenan and Kelce,2,False
2022,828389182266277888,Dine Nasty Football 2K22,auction,complete,12,2,15,11,,1,2197,Brandin,Cooks,WR,HOU,736862679649652736,loud1990,Keenan and Kelce,2,False
2022,828389182266277888,Dine Nasty Football 2K22,auction,complete,12,2,16,12,,1,4068,Mike,Williams,WR,LAC,790083700929957888,bpush20,PushMAndrews,5,False
2022,828389182266277888,Dine Nasty Football 2K22,auction,complete,12,2,17,12,,1,5045,Courtland,Sutton,WR,DEN,790083700929957888,bpush20,PushMAndrews,5,False
